>>> Starting benchmark: scala-kmeans
>>> GC: ZGC
>>> Duration: 600s
>>> Base dir: ZGC-java21-2026-04-25
>>> Output dir: ZGC-java21-2026-04-25/scala-kmeans
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Minor Pauses.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Cycles.
[jmx-memory plugin] WARNING: Unknown garbage collector ZGC Major Pauses.
[jmx-memory plugin] WARNING: MXBean for young generation not found, using mock.
====== scala-kmeans (scala) [default], iteration 37 completed (246.351 ms) ======
====== scala-kmeans (scala) [default], iteration 38 started ======
====== scala-kmeans (scala) [default], iteration 38 completed (245.035 ms) ======
====== scala-kmeans (scala) [default], iteration 39 started ======
====== scala-kmeans (scala) [default], iteration 39 completed (245.353 ms) ======
====== scala-kmeans (scala) [default], iteration 40 started ======
====== scala-kmeans (scala) [default], iteration 40 completed (240.381 ms) ======
====== scala-kmeans (scala) [default], iteration 41 started ======
====== scala-kmeans (scala) [default], iteration 41 completed (241.777 ms) ======
====== scala-kmeans (scala) [default], iteration 42 started ======
====== scala-kmeans (scala) [default], iteration 42 completed (246.899 ms) ======
====== scala-kmeans (scala) [default], iteration 43 started ======
====== scala-kmeans (scala) [default], iteration 43 completed (246.874 ms) ======
====== scala-kmeans (scala) [default], iteration 44 started ======
====== scala-kmeans (scala) [default], iteration 44 completed (287.090 ms) ======
====== scala-kmeans (scala) [default], iteration 45 started ======
====== scala-kmeans (scala) [default], iteration 45 completed (321.561 ms) ======
====== scala-kmeans (scala) [default], iteration 46 started ======
====== scala-kmeans (scala) [default], iteration 46 completed (319.269 ms) ======
====== scala-kmeans (scala) [default], iteration 47 started ======
====== scala-kmeans (scala) [default], iteration 47 completed (318.905 ms) ======
====== scala-kmeans (scala) [default], iteration 48 started ======
====== scala-kmeans (scala) [default], iteration 48 completed (320.474 ms) ======
====== scala-kmeans (scala) [default], iteration 49 started ======
====== scala-kmeans (scala) [default], iteration 49 completed (321.945 ms) ======
====== scala-kmeans (scala) [default], iteration 50 started ======
====== scala-kmeans (scala) [default], iteration 50 completed (318.159 ms) ======
====== scala-kmeans (scala) [default], iteration 51 started ======
====== scala-kmeans (scala) [default], iteration 51 completed (313.825 ms) ======
====== scala-kmeans (scala) [default], iteration 52 started ======
====== scala-kmeans (scala) [default], iteration 52 completed (320.646 ms) ======
====== scala-kmeans (scala) [default], iteration 53 started ======
====== scala-kmeans (scala) [default], iteration 53 completed (317.387 ms) ======
====== scala-kmeans (scala) [default], iteration 54 started ======
====== scala-kmeans (scala) [default], iteration 54 completed (288.547 ms) ======
====== scala-kmeans (scala) [default], iteration 55 started ======
====== scala-kmeans (scala) [default], iteration 55 completed (239.698 ms) ======
====== scala-kmeans (scala) [default], iteration 56 started ======
====== scala-kmeans (scala) [default], iteration 56 completed (240.155 ms) ======
====== scala-kmeans (scala) [default], iteration 57 started ======
====== scala-kmeans (scala) [default], iteration 57 completed (241.018 ms) ======
====== scala-kmeans (scala) [default], iteration 58 started ======
====== scala-kmeans (scala) [default], iteration 58 completed (241.400 ms) ======
====== scala-kmeans (scala) [default], iteration 59 started ======
====== scala-kmeans (scala) [default], iteration 59 completed (240.711 ms) ======
====== scala-kmeans (scala) [default], iteration 60 started ======
====== scala-kmeans (scala) [default], iteration 60 completed (240.237 ms) ======
====== scala-kmeans (scala) [default], iteration 61 started ======
====== scala-kmeans (scala) [default], iteration 61 completed (240.032 ms) ======
====== scala-kmeans (scala) [default], iteration 62 started ======
====== scala-kmeans (scala) [default], iteration 62 completed (240.090 ms) ======
====== scala-kmeans (scala) [default], iteration 63 started ======
====== scala-kmeans (scala) [default], iteration 63 completed (240.147 ms) ======
====== scala-kmeans (scala) [default], iteration 64 started ======
====== scala-kmeans (scala) [default], iteration 64 completed (240.530 ms) ======
====== scala-kmeans (scala) [default], iteration 65 started ======
====== scala-kmeans (scala) [default], iteration 65 completed (239.503 ms) ======
====== scala-kmeans (scala) [default], iteration 66 started ======
====== scala-kmeans (scala) [default], iteration 66 completed (240.305 ms) ======
====== scala-kmeans (scala) [default], iteration 67 started ======
====== scala-kmeans (scala) [default], iteration 67 completed (240.292 ms) ======
====== scala-kmeans (scala) [default], iteration 68 started ======
====== scala-kmeans (scala) [default], iteration 68 completed (233.983 ms) ======
====== scala-kmeans (scala) [default], iteration 69 started ======
====== scala-kmeans (scala) [default], iteration 69 completed (241.088 ms) ======
====== scala-kmeans (scala) [default], iteration 70 started ======
====== scala-kmeans (scala) [default], iteration 70 completed (240.053 ms) ======
====== scala-kmeans (scala) [default], iteration 71 started ======
====== scala-kmeans (scala) [default], iteration 71 completed (240.217 ms) ======
====== scala-kmeans (scala) [default], iteration 72 started ======
====== scala-kmeans (scala) [default], iteration 72 completed (240.389 ms) ======
====== scala-kmeans (scala) [default], iteration 73 started ======
====== scala-kmeans (scala) [default], iteration 73 completed (241.017 ms) ======
====== scala-kmeans (scala) [default], iteration 74 started ======
====== scala-kmeans (scala) [default], iteration 74 completed (240.314 ms) ======
====== scala-kmeans (scala) [default], iteration 75 started ======
====== scala-kmeans (scala) [default], iteration 75 completed (239.972 ms) ======
====== scala-kmeans (scala) [default], iteration 76 started ======
====== scala-kmeans (scala) [default], iteration 76 completed (240.442 ms) ======
====== scala-kmeans (scala) [default], iteration 77 started ======
====== scala-kmeans (scala) [default], iteration 77 completed (240.668 ms) ======
====== scala-kmeans (scala) [default], iteration 78 started ======
====== scala-kmeans (scala) [default], iteration 78 completed (241.701 ms) ======
====== scala-kmeans (scala) [default], iteration 79 started ======
====== scala-kmeans (scala) [default], iteration 79 completed (240.682 ms) ======
====== scala-kmeans (scala) [default], iteration 80 started ======
====== scala-kmeans (scala) [default], iteration 80 completed (241.278 ms) ======
====== scala-kmeans (scala) [default], iteration 81 started ======
====== scala-kmeans (scala) [default], iteration 81 completed (252.083 ms) ======
====== scala-kmeans (scala) [default], iteration 82 started ======
====== scala-kmeans (scala) [default], iteration 82 completed (314.180 ms) ======
====== scala-kmeans (scala) [default], iteration 83 started ======
====== scala-kmeans (scala) [default], iteration 83 completed (314.608 ms) ======
====== scala-kmeans (scala) [default], iteration 84 started ======
====== scala-kmeans (scala) [default], iteration 84 completed (313.904 ms) ======
====== scala-kmeans (scala) [default], iteration 85 started ======
====== scala-kmeans (scala) [default], iteration 85 completed (316.578 ms) ======
====== scala-kmeans (scala) [default], iteration 86 started ======
====== scala-kmeans (scala) [default], iteration 86 completed (315.191 ms) ======
====== scala-kmeans (scala) [default], iteration 87 started ======
====== scala-kmeans (scala) [default], iteration 87 completed (314.124 ms) ======
====== scala-kmeans (scala) [default], iteration 88 started ======
====== scala-kmeans (scala) [default], iteration 88 completed (314.732 ms) ======
====== scala-kmeans (scala) [default], iteration 89 started ======
====== scala-kmeans (scala) [default], iteration 89 completed (314.957 ms) ======
====== scala-kmeans (scala) [default], iteration 90 started ======
====== scala-kmeans (scala) [default], iteration 90 completed (314.694 ms) ======
====== scala-kmeans (scala) [default], iteration 91 started ======
====== scala-kmeans (scala) [default], iteration 91 completed (313.575 ms) ======
====== scala-kmeans (scala) [default], iteration 92 started ======
====== scala-kmeans (scala) [default], iteration 92 completed (313.800 ms) ======
====== scala-kmeans (scala) [default], iteration 93 started ======
====== scala-kmeans (scala) [default], iteration 93 completed (314.895 ms) ======
====== scala-kmeans (scala) [default], iteration 94 started ======
====== scala-kmeans (scala) [default], iteration 94 completed (312.848 ms) ======
====== scala-kmeans (scala) [default], iteration 95 started ======
====== scala-kmeans (scala) [default], iteration 95 completed (314.126 ms) ======
====== scala-kmeans (scala) [default], iteration 96 started ======
====== scala-kmeans (scala) [default], iteration 96 completed (314.859 ms) ======
====== scala-kmeans (scala) [default], iteration 97 started ======
====== scala-kmeans (scala) [default], iteration 97 completed (313.600 ms) ======
====== scala-kmeans (scala) [default], iteration 98 started ======
====== scala-kmeans (scala) [default], iteration 98 completed (314.384 ms) ======
====== scala-kmeans (scala) [default], iteration 99 started ======
====== scala-kmeans (scala) [default], iteration 99 completed (313.323 ms) ======
====== scala-kmeans (scala) [default], iteration 100 started ======
====== scala-kmeans (scala) [default], iteration 100 completed (314.563 ms) ======
====== scala-kmeans (scala) [default], iteration 101 started ======
====== scala-kmeans (scala) [default], iteration 101 completed (314.966 ms) ======
====== scala-kmeans (scala) [default], iteration 102 started ======
====== scala-kmeans (scala) [default], iteration 102 completed (312.877 ms) ======
====== scala-kmeans (scala) [default], iteration 103 started ======
====== scala-kmeans (scala) [default], iteration 103 completed (314.074 ms) ======
====== scala-kmeans (scala) [default], iteration 104 started ======
====== scala-kmeans (scala) [default], iteration 104 completed (313.532 ms) ======
====== scala-kmeans (scala) [default], iteration 105 started ======
====== scala-kmeans (scala) [default], iteration 105 completed (314.401 ms) ======
====== scala-kmeans (scala) [default], iteration 106 started ======
====== scala-kmeans (scala) [default], iteration 106 completed (314.180 ms) ======
====== scala-kmeans (scala) [default], iteration 107 started ======
====== scala-kmeans (scala) [default], iteration 107 completed (314.432 ms) ======
====== scala-kmeans (scala) [default], iteration 108 started ======
====== scala-kmeans (scala) [default], iteration 108 completed (313.750 ms) ======
====== scala-kmeans (scala) [default], iteration 109 started ======
====== scala-kmeans (scala) [default], iteration 109 completed (313.727 ms) ======
====== scala-kmeans (scala) [default], iteration 110 started ======
====== scala-kmeans (scala) [default], iteration 110 completed (314.652 ms) ======
====== scala-kmeans (scala) [default], iteration 111 started ======
====== scala-kmeans (scala) [default], iteration 111 completed (313.722 ms) ======
====== scala-kmeans (scala) [default], iteration 112 started ======
====== scala-kmeans (scala) [default], iteration 112 completed (314.777 ms) ======
====== scala-kmeans (scala) [default], iteration 113 started ======
====== scala-kmeans (scala) [default], iteration 113 completed (313.230 ms) ======
====== scala-kmeans (scala) [default], iteration 114 started ======
====== scala-kmeans (scala) [default], iteration 114 completed (311.657 ms) ======
====== scala-kmeans (scala) [default], iteration 115 started ======
====== scala-kmeans (scala) [default], iteration 115 completed (314.291 ms) ======
====== scala-kmeans (scala) [default], iteration 116 started ======
====== scala-kmeans (scala) [default], iteration 116 completed (312.954 ms) ======
====== scala-kmeans (scala) [default], iteration 117 started ======
====== scala-kmeans (scala) [default], iteration 117 completed (313.445 ms) ======
====== scala-kmeans (scala) [default], iteration 118 started ======
====== scala-kmeans (scala) [default], iteration 118 completed (315.156 ms) ======
====== scala-kmeans (scala) [default], iteration 119 started ======
====== scala-kmeans (scala) [default], iteration 119 completed (313.707 ms) ======
====== scala-kmeans (scala) [default], iteration 120 started ======
====== scala-kmeans (scala) [default], iteration 120 completed (313.868 ms) ======
====== scala-kmeans (scala) [default], iteration 121 started ======
====== scala-kmeans (scala) [default], iteration 121 completed (312.590 ms) ======
====== scala-kmeans (scala) [default], iteration 122 started ======
====== scala-kmeans (scala) [default], iteration 122 completed (313.297 ms) ======
====== scala-kmeans (scala) [default], iteration 123 started ======
====== scala-kmeans (scala) [default], iteration 123 completed (313.334 ms) ======
====== scala-kmeans (scala) [default], iteration 124 started ======
====== scala-kmeans (scala) [default], iteration 124 completed (312.616 ms) ======
====== scala-kmeans (scala) [default], iteration 125 started ======
====== scala-kmeans (scala) [default], iteration 125 completed (313.835 ms) ======
====== scala-kmeans (scala) [default], iteration 126 started ======
====== scala-kmeans (scala) [default], iteration 126 completed (313.812 ms) ======
====== scala-kmeans (scala) [default], iteration 127 started ======
====== scala-kmeans (scala) [default], iteration 127 completed (311.870 ms) ======
====== scala-kmeans (scala) [default], iteration 128 started ======
====== scala-kmeans (scala) [default], iteration 128 completed (311.631 ms) ======
====== scala-kmeans (scala) [default], iteration 129 started ======
====== scala-kmeans (scala) [default], iteration 129 completed (313.886 ms) ======
====== scala-kmeans (scala) [default], iteration 130 started ======
====== scala-kmeans (scala) [default], iteration 130 completed (314.541 ms) ======
====== scala-kmeans (scala) [default], iteration 131 started ======
====== scala-kmeans (scala) [default], iteration 131 completed (312.665 ms) ======
====== scala-kmeans (scala) [default], iteration 132 started ======
====== scala-kmeans (scala) [default], iteration 132 completed (311.944 ms) ======
====== scala-kmeans (scala) [default], iteration 133 started ======
====== scala-kmeans (scala) [default], iteration 133 completed (311.909 ms) ======
====== scala-kmeans (scala) [default], iteration 134 started ======
====== scala-kmeans (scala) [default], iteration 134 completed (312.718 ms) ======
====== scala-kmeans (scala) [default], iteration 135 started ======
====== scala-kmeans (scala) [default], iteration 135 completed (312.467 ms) ======
====== scala-kmeans (scala) [default], iteration 136 started ======
====== scala-kmeans (scala) [default], iteration 136 completed (313.733 ms) ======
====== scala-kmeans (scala) [default], iteration 137 started ======
====== scala-kmeans (scala) [default], iteration 137 completed (312.194 ms) ======
====== scala-kmeans (scala) [default], iteration 138 started ======
====== scala-kmeans (scala) [default], iteration 138 completed (312.918 ms) ======
====== scala-kmeans (scala) [default], iteration 139 started ======
====== scala-kmeans (scala) [default], iteration 139 completed (313.033 ms) ======
====== scala-kmeans (scala) [default], iteration 140 started ======
====== scala-kmeans (scala) [default], iteration 140 completed (312.371 ms) ======
====== scala-kmeans (scala) [default], iteration 141 started ======
====== scala-kmeans (scala) [default], iteration 141 completed (312.685 ms) ======
====== scala-kmeans (scala) [default], iteration 142 started ======
====== scala-kmeans (scala) [default], iteration 142 completed (312.837 ms) ======
====== scala-kmeans (scala) [default], iteration 143 started ======
====== scala-kmeans (scala) [default], iteration 143 completed (280.651 ms) ======
====== scala-kmeans (scala) [default], iteration 144 started ======
====== scala-kmeans (scala) [default], iteration 144 completed (240.358 ms) ======
====== scala-kmeans (scala) [default], iteration 145 started ======
====== scala-kmeans (scala) [default], iteration 145 completed (240.519 ms) ======
====== scala-kmeans (scala) [default], iteration 146 started ======
====== scala-kmeans (scala) [default], iteration 146 completed (240.234 ms) ======
====== scala-kmeans (scala) [default], iteration 147 started ======
====== scala-kmeans (scala) [default], iteration 147 completed (240.325 ms) ======
====== scala-kmeans (scala) [default], iteration 148 started ======
====== scala-kmeans (scala) [default], iteration 148 completed (239.517 ms) ======
====== scala-kmeans (scala) [default], iteration 149 started ======
====== scala-kmeans (scala) [default], iteration 149 completed (239.760 ms) ======
====== scala-kmeans (scala) [default], iteration 150 started ======
====== scala-kmeans (scala) [default], iteration 150 completed (240.742 ms) ======
====== scala-kmeans (scala) [default], iteration 151 started ======
====== scala-kmeans (scala) [default], iteration 151 completed (240.523 ms) ======
====== scala-kmeans (scala) [default], iteration 152 started ======
====== scala-kmeans (scala) [default], iteration 152 completed (240.460 ms) ======
====== scala-kmeans (scala) [default], iteration 153 started ======
====== scala-kmeans (scala) [default], iteration 153 completed (305.663 ms) ======
====== scala-kmeans (scala) [default], iteration 154 started ======
====== scala-kmeans (scala) [default], iteration 154 completed (237.072 ms) ======
====== scala-kmeans (scala) [default], iteration 155 started ======
====== scala-kmeans (scala) [default], iteration 155 completed (238.528 ms) ======
====== scala-kmeans (scala) [default], iteration 156 started ======
====== scala-kmeans (scala) [default], iteration 156 completed (238.859 ms) ======
====== scala-kmeans (scala) [default], iteration 157 started ======
====== scala-kmeans (scala) [default], iteration 157 completed (238.724 ms) ======
====== scala-kmeans (scala) [default], iteration 158 started ======
====== scala-kmeans (scala) [default], iteration 158 completed (238.232 ms) ======
====== scala-kmeans (scala) [default], iteration 159 started ======
====== scala-kmeans (scala) [default], iteration 159 completed (238.322 ms) ======
====== scala-kmeans (scala) [default], iteration 160 started ======
====== scala-kmeans (scala) [default], iteration 160 completed (238.175 ms) ======
====== scala-kmeans (scala) [default], iteration 161 started ======
====== scala-kmeans (scala) [default], iteration 161 completed (238.706 ms) ======
====== scala-kmeans (scala) [default], iteration 162 started ======
====== scala-kmeans (scala) [default], iteration 162 completed (239.540 ms) ======
====== scala-kmeans (scala) [default], iteration 163 started ======
====== scala-kmeans (scala) [default], iteration 163 completed (237.905 ms) ======
====== scala-kmeans (scala) [default], iteration 164 started ======
====== scala-kmeans (scala) [default], iteration 164 completed (237.533 ms) ======
====== scala-kmeans (scala) [default], iteration 165 started ======
====== scala-kmeans (scala) [default], iteration 165 completed (237.378 ms) ======
====== scala-kmeans (scala) [default], iteration 166 started ======
====== scala-kmeans (scala) [default], iteration 166 completed (236.496 ms) ======
====== scala-kmeans (scala) [default], iteration 167 started ======
====== scala-kmeans (scala) [default], iteration 167 completed (239.467 ms) ======
====== scala-kmeans (scala) [default], iteration 168 started ======
====== scala-kmeans (scala) [default], iteration 168 completed (238.372 ms) ======
====== scala-kmeans (scala) [default], iteration 169 started ======
====== scala-kmeans (scala) [default], iteration 169 completed (237.643 ms) ======
====== scala-kmeans (scala) [default], iteration 170 started ======
====== scala-kmeans (scala) [default], iteration 170 completed (239.275 ms) ======
====== scala-kmeans (scala) [default], iteration 171 started ======
====== scala-kmeans (scala) [default], iteration 171 completed (238.121 ms) ======
====== scala-kmeans (scala) [default], iteration 172 started ======
====== scala-kmeans (scala) [default], iteration 172 completed (237.983 ms) ======
====== scala-kmeans (scala) [default], iteration 173 started ======
====== scala-kmeans (scala) [default], iteration 173 completed (239.649 ms) ======
====== scala-kmeans (scala) [default], iteration 174 started ======
====== scala-kmeans (scala) [default], iteration 174 completed (238.361 ms) ======
====== scala-kmeans (scala) [default], iteration 175 started ======
====== scala-kmeans (scala) [default], iteration 175 completed (238.265 ms) ======
====== scala-kmeans (scala) [default], iteration 176 started ======
====== scala-kmeans (scala) [default], iteration 176 completed (239.679 ms) ======
====== scala-kmeans (scala) [default], iteration 177 started ======
====== scala-kmeans (scala) [default], iteration 177 completed (238.024 ms) ======
====== scala-kmeans (scala) [default], iteration 178 started ======
====== scala-kmeans (scala) [default], iteration 178 completed (238.712 ms) ======
====== scala-kmeans (scala) [default], iteration 179 started ======
====== scala-kmeans (scala) [default], iteration 179 completed (240.010 ms) ======
====== scala-kmeans (scala) [default], iteration 180 started ======
====== scala-kmeans (scala) [default], iteration 180 completed (237.821 ms) ======
====== scala-kmeans (scala) [default], iteration 181 started ======
====== scala-kmeans (scala) [default], iteration 181 completed (238.902 ms) ======
====== scala-kmeans (scala) [default], iteration 182 started ======
====== scala-kmeans (scala) [default], iteration 182 completed (237.583 ms) ======
====== scala-kmeans (scala) [default], iteration 183 started ======
====== scala-kmeans (scala) [default], iteration 183 completed (238.880 ms) ======
====== scala-kmeans (scala) [default], iteration 184 started ======
====== scala-kmeans (scala) [default], iteration 184 completed (240.853 ms) ======
====== scala-kmeans (scala) [default], iteration 185 started ======
====== scala-kmeans (scala) [default], iteration 185 completed (238.606 ms) ======
====== scala-kmeans (scala) [default], iteration 186 started ======
====== scala-kmeans (scala) [default], iteration 186 completed (239.361 ms) ======
====== scala-kmeans (scala) [default], iteration 187 started ======
====== scala-kmeans (scala) [default], iteration 187 completed (239.247 ms) ======
====== scala-kmeans (scala) [default], iteration 188 started ======
====== scala-kmeans (scala) [default], iteration 188 completed (238.697 ms) ======
====== scala-kmeans (scala) [default], iteration 189 started ======
====== scala-kmeans (scala) [default], iteration 189 completed (238.910 ms) ======
====== scala-kmeans (scala) [default], iteration 190 started ======
====== scala-kmeans (scala) [default], iteration 190 completed (237.962 ms) ======
====== scala-kmeans (scala) [default], iteration 191 started ======
====== scala-kmeans (scala) [default], iteration 191 completed (237.841 ms) ======
====== scala-kmeans (scala) [default], iteration 192 started ======
====== scala-kmeans (scala) [default], iteration 192 completed (239.167 ms) ======
====== scala-kmeans (scala) [default], iteration 193 started ======
====== scala-kmeans (scala) [default], iteration 193 completed (238.110 ms) ======
====== scala-kmeans (scala) [default], iteration 194 started ======
====== scala-kmeans (scala) [default], iteration 194 completed (239.528 ms) ======
====== scala-kmeans (scala) [default], iteration 195 started ======
====== scala-kmeans (scala) [default], iteration 195 completed (239.824 ms) ======
====== scala-kmeans (scala) [default], iteration 196 started ======
====== scala-kmeans (scala) [default], iteration 196 completed (238.930 ms) ======
====== scala-kmeans (scala) [default], iteration 197 started ======
====== scala-kmeans (scala) [default], iteration 197 completed (238.225 ms) ======
====== scala-kmeans (scala) [default], iteration 198 started ======
====== scala-kmeans (scala) [default], iteration 198 completed (238.974 ms) ======
====== scala-kmeans (scala) [default], iteration 199 started ======
====== scala-kmeans (scala) [default], iteration 199 completed (239.234 ms) ======
====== scala-kmeans (scala) [default], iteration 200 started ======
====== scala-kmeans (scala) [default], iteration 200 completed (238.689 ms) ======
====== scala-kmeans (scala) [default], iteration 201 started ======
====== scala-kmeans (scala) [default], iteration 201 completed (238.260 ms) ======
====== scala-kmeans (scala) [default], iteration 202 started ======
====== scala-kmeans (scala) [default], iteration 202 completed (238.812 ms) ======
====== scala-kmeans (scala) [default], iteration 203 started ======
====== scala-kmeans (scala) [default], iteration 203 completed (235.396 ms) ======
====== scala-kmeans (scala) [default], iteration 204 started ======
====== scala-kmeans (scala) [default], iteration 204 completed (239.489 ms) ======
====== scala-kmeans (scala) [default], iteration 205 started ======
====== scala-kmeans (scala) [default], iteration 205 completed (238.468 ms) ======
====== scala-kmeans (scala) [default], iteration 206 started ======
====== scala-kmeans (scala) [default], iteration 206 completed (238.163 ms) ======
====== scala-kmeans (scala) [default], iteration 207 started ======
====== scala-kmeans (scala) [default], iteration 207 completed (238.070 ms) ======
====== scala-kmeans (scala) [default], iteration 208 started ======
====== scala-kmeans (scala) [default], iteration 208 completed (234.031 ms) ======
====== scala-kmeans (scala) [default], iteration 209 started ======
====== scala-kmeans (scala) [default], iteration 209 completed (238.116 ms) ======
====== scala-kmeans (scala) [default], iteration 210 started ======
====== scala-kmeans (scala) [default], iteration 210 completed (237.909 ms) ======
====== scala-kmeans (scala) [default], iteration 211 started ======
====== scala-kmeans (scala) [default], iteration 211 completed (238.776 ms) ======
====== scala-kmeans (scala) [default], iteration 212 started ======
====== scala-kmeans (scala) [default], iteration 212 completed (237.905 ms) ======
====== scala-kmeans (scala) [default], iteration 213 started ======
====== scala-kmeans (scala) [default], iteration 213 completed (238.732 ms) ======
====== scala-kmeans (scala) [default], iteration 214 started ======
====== scala-kmeans (scala) [default], iteration 214 completed (238.705 ms) ======
====== scala-kmeans (scala) [default], iteration 215 started ======
====== scala-kmeans (scala) [default], iteration 215 completed (237.545 ms) ======
====== scala-kmeans (scala) [default], iteration 216 started ======
====== scala-kmeans (scala) [default], iteration 216 completed (240.138 ms) ======
====== scala-kmeans (scala) [default], iteration 217 started ======
====== scala-kmeans (scala) [default], iteration 217 completed (237.869 ms) ======
====== scala-kmeans (scala) [default], iteration 218 started ======
====== scala-kmeans (scala) [default], iteration 218 completed (238.858 ms) ======
====== scala-kmeans (scala) [default], iteration 219 started ======
